%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1698638743328406366,0.45455403854639226,0.0,0.0,0.0,0.0,-0.053123039157097963
1698638743338252120,0.45486977208076484,0.0,0.0,0.0,0.0,-0.05281288133870264
1698638743348259464,0.45666943761067513,0.0,0.0,0.0,0.0,-0.05206621865307883
1698638743358279449,0.4582430234187018,0.0,0.0,0.0,0.0,-0.05197381436123933
1698638743368284221,0.4598334912660479,0.0,0.0,0.0,0.0,-0.05130138387237158
1698638743378259953,0.46127968105287004,0.0,0.0,0.0,0.0,-0.05051901854314563
1698638743388265247,0.46288071960335814,0.0,0.0,0.0,0.0,-0.0499358222291124
1698638743398200770,0.46303173898403416,0.0,0.0,0.0,0.0,-0.04962301309028937
1698638743408251503,0.46429322398811207,0.0,0.0,0.0,0.0,-0.048049058549759716
1698638743418260492,0.4651902189272401,0.0,0.0,0.0,0.0,-0.046828830648463535
1698638743428337102,0.46649461970793227,0.0,0.0,0.0,0.0,-0.046777685078925275
1698638743438361954,0.46666168679872805,0.0,0.0,0.0,0.0,-0.04522358495924236
1698638743448245787,0.46768800679490596,0.0,0.0,0.0,0.0,-0.04350775542745
1698638743458309017,0.4689952584475498,0.0,0.0,0.0,0.0,-0.041749451125022416
1698638743469709306,0.4695120151412468,0.0,0.0,0.0,0.0,-0.04099141520550082
1698638743478298460,0.47126499982410675,0.0,0.0,0.0,0.0,-0.040509251981051285
1698638743488331093,0.47230581258442217,0.0,0.0,0.0,0.0,-0.03928671034744343
1698638743498292931,0.47389673551239886,0.0,0.0,0.0,0.0,-0.03857719310617669
1698638743508247276,0.4748786459876935,0.0,0.0,0.0,0.0,-0.036845096992614686
1698638743518354355,0.4761857787979782,0.0,0.0,0.0,0.0,-0.0356815362103549
1698638743528404137,0.4764628928302011,0.0,0.0,0.0,0.0,-0.0344235094355499
1698638743538241693,0.47722970541230997,0.0,0.0,0.0,0.0,-0.03317121358729875
1698638743548866987,0.4775410435440356,0.0,0.0,0.0,0.0,-0.03175269086633777
1698638743558303009,0.4780291050622045,0.0,0.0,0.0,0.0,-0.031383270060618355
1698638743568257886,0.4796276398334341,0.0,0.0,0.0,0.0,-0.03033468418739042
1698638743578403997,0.4803679984518289,0.0,0.0,0.0,0.0,-0.029847960111754966
1698638743588364513,0.4814484995717151,0.0,0.0,0.0,0.0,-0.029795814297879905
1698638743598267150,0.48319914019748433,0.0,0.0,0.0,0.0,-0.029673931098006784
1698638743608183723,0.4837977062846378,0.0,0.0,0.0,0.0,-0.029166066449353392
1698638743618259219,0.4838520234853316,0.0,0.0,0.0,0.0,-0.028040229053750386
1698638743628285698,0.484975594581218,0.0,0.0,0.0,0.0,-0.026813617153895422
1698638743638188594,0.48669329827100893,0.0,0.0,0.0,0.0,-0.026355420339445122
1698638743648370586,0.48811252438392144,0.0,0.0,0.0,0.0,-0.024950326227013313
1698638743658265992,0.48960646278589914,0.0,0.0,0.0,0.0,-0.02431639011255511
1698638743668230681,0.49053673572388085,0.0,0.0,0.0,0.0,-0.023037905860439748
1698638743678290982,0.49212955747135073,0.0,0.0,0.0,0.0,-0.02244151962267535
1698638743688225813,0.4941672918255117,0.0,0.0,0.0,0.0,-0.020515068179133948
1698638743698274321,0.4942335168463321,0.0,0.0,0.0,0.0,-0.020171019905242924
1698638743708248280,0.49626123235589115,0.0,0.0,0.0,0.0,-0.019190706070854838
1698638743718298752,0.4981655166134355,0.0,0.0,0.0,0.0,-0.01887536493109888
1698638743728283515,0.49916014457779695,0.0,0.0,0.0,0.0,-0.017676182075411214
1698638743738312353,0.5006656963320542,0.0,0.0,0.0,0.0,-0.016095924048301926
1698638743748230475,0.500942264796495,0.0,0.0,0.0,0.0,-0.014386229170098162
1698638743758278547,0.5025997951492354,0.0,0.0,0.0,0.0,-0.013313223078395008
1698638743769335550,0.5033108419671353,0.0,0.0,0.0,0.0,-0.013074161440330245
1698638743778212665,0.5052397261604398,0.0,0.0,0.0,0.0,-0.012819776956356761
1698638743788246923,0.5059815365609454,0.0,0.0,0.0,0.0,-0.012697058702758685
1698638743798250862,0.5064260310047202,0.0,0.0,0.0,0.0,-0.01138029506138952
1698638743808351949,0.5065483606620074,0.0,0.0,0.0,0.0,-0.00984174384740541
1698638743818264669,0.5074143178649968,0.0,0.0,0.0,0.0,-0.008661226211777218
1698638743828286227,0.5084225899884723,0.0,0.0,0.0,0.0,-0.00694654846829155
1698638743838300775,0.5095260793770667,0.0,0.0,0.0,0.0,-0.006474820535772804
1698638743848204933,0.511113968702111,0.0,0.0,0.0,0.0,-0.005585524604841108
1698638743858315099,0.512982788022539,0.0,0.0,0.0,0.0,-0.004628033984612644
1698638743868225161,0.5140146197657588,0.0,0.0,0.0,0.0,-0.0029876270972648156
1698638743878292232,0.5152414015984739,0.0,0.0,0.0,0.0,-0.001083520210452804
1698638743888240847,0.5156728857810421,0.0,0.0,0.0,0.0,-0.00023182191686197035
1698638743898725148,0.5170907010787519,0.0,0.0,0.0,0.0,0.000323026982549479
1698638743908211138,0.5191687617406623,0.0,0.0,0.0,0.0,0.0023537442536297488
1698638743918247088,0.5197765628457754,0.0,0.0,0.0,0.0,0.0035338299049366027
1698638743928247223,0.5200895119526551,0.0,0.0,0.0,0.0,0.005039872497417726
1698638743938263274,0.5212205699108513,0.0,0.0,0.0,0.0,0.0059060266058939825
1698638743948235896,0.5219581274163172,0.0,0.0,0.0,0.0,0.005907145138632775
1698638743958316708,0.522540592603477,0.0,0.0,0.0,0.0,0.006480459174151516
1698638743968284185,0.5229944769822507,0.0,0.0,0.0,0.0,0.006555152549069986
1698638743978250037,0.5230120452412756,0.0,0.0,0.0,0.0,0.007270080013670653
1698638743988301812,0.5246727517452904,0.0,0.0,0.0,0.0,0.007508868849638922
1698638743998459115,0.5261307210095402,0.0,0.0,0.0,0.0,0.008149946221676866
1698638744008230417,0.5279155682291783,0.0,0.0,0.0,0.0,0.008346149618193074
1698638744018913458,0.5286253894341507,0.0,0.0,0.0,0.0,0.010077051331594976
1698638744028243027,0.5294981511581639,0.0,0.0,0.0,0.0,0.011166853285036499
1698638744038211203,0.5305255457270158,0.0,0.0,0.0,0.0,0.011629662621230961
1698638744048247506,0.5318476827695927,0.0,0.0,0.0,0.0,0.01242539493851926
1698638744058771933,0.5339069576766182,0.0,0.0,0.0,0.0,0.01265062961132262
1698638744068339206,0.5341233284487134,0.0,0.0,0.0,0.0,0.014145012087800765
1698638744078224092,0.534385432437887,0.0,0.0,0.0,0.0,0.014632322637545188
1698638744088196767,0.5345581197493469,0.0,0.0,0.0,0.0,0.015505283484723112
1698638744098211028,0.5354130075350348,0.0,0.0,0.0,0.0,0.016586294122434203
1698638744108262538,0.53653444961227,0.0,0.0,0.0,0.0,0.01775456056395544
1698638744118218020,0.5375570586104216,0.0,0.0,0.0,0.0,0.018141658389816722
1698638744128224557,0.5394912972481123,0.0,0.0,0.0,0.0,0.019703386840670817
1698638744138223659,0.540437692243469,0.0,0.0,0.0,0.0,0.02040021011234118
1698638744148222067,0.5409985394195955,0.0,0.0,0.0,0.0,0.02059107495344598
1698638744158261428,0.5423053541857096,0.0,0.0,0.0,0.0,0.021333042635045724
1698638744168218816,0.5438728272514615,0.0,0.0,0.0,0.0,0.02178540659300727
1698638744178300885,0.5445037319219806,0.0,0.0,0.0,0.0,0.023180500519909598
1698638744188269690,0.544969497748869,0.0,0.0,0.0,0.0,0.024827798912928974
1698638744198209249,0.5460048293073235,0.0,0.0,0.0,0.0,0.02662282800178735
1698638744208216770,0.5476762877518362,0.0,0.0,0.0,0.0,0.02744537730615455
1698638744218594129,0.5479210043597788,0.0,0.0,0.0,0.0,0.02932219048542023
1698638744228383348,0.5479496471449274,0.0,0.0,0.0,0.0,0.029578428845099865
1698638744238352665,0.548749754313614,0.0,0.0,0.0,0.0,0.030472732355840193
1698638744248213671,0.5510494675844368,0.0,0.0,0.0,0.0,0.03088176650896149
1698638744258326889,0.5520766438007282,0.0,0.0,0.0,0.0,0.0328006861882604
1698638744268364943,0.5525279721468956,0.0,0.0,0.0,0.0,0.03371457346636011
1698638744278234194,0.5537496035494051,0.0,0.0,0.0,0.0,0.03414288612031357
1698638744288215780,0.5538916178348112,0.0,0.0,0.0,0.0,0.035152108630521164
1698638744298252340,0.5542349709998564,0.0,0.0,0.0,0.0,0.03535403880746675
1698638744308216335,0.5559075394045276,0.0,0.0,0.0,0.0,0.03535547981551934
1698638744318346608,0.556100905524115,0.0,0.0,0.0,0.0,0.03577878077569248
1698638744328232360,0.5574316166919284,0.0,0.0,0.0,0.0,0.03737380797418753
1698638744338199049,0.5590857029306031,0.0,0.0,0.0,0.0,0.039613449578980144
1698638744348224676,0.560381922159105,0.0,0.0,0.0,0.0,0.0397217566191924
1698638744358202243,0.5619857659330949,0.0,0.0,0.0,0.0,0.041363020272942086
1698638744368227469,0.5627379955873943,0.0,0.0,0.0,0.0,0.043243923481844075
1698638744378636264,0.5646108682429515,0.0,0.0,0.0,0.0,0.044404595798112456
1698638744388243418,0.5669080823001976,0.0,0.0,0.0,0.0,0.045062845779706075
1698638744398235808,0.5682815523574282,0.0,0.0,0.0,0.0,0.04657981384400467
1698638744408224168,0.5698664157796997,0.0,0.0,0.0,0.0,0.04723759355120441
1698638744418187041,0.570213606775219,0.0,0.0,0.0,0.0,0.04769091557171159
1698638744428313081,0.5717167866728641,0.0,0.0,0.0,0.0,0.04829626711274422
1698638744438235812,0.5730152700194777,0.0,0.0,0.0,0.0,0.049460056833434914
1698638744448301717,0.5730732847071421,0.0,0.0,0.0,0.0,0.05055743113889483
1698638744458279272,0.5740544773088658,0.0,0.0,0.0,0.0,0.052362476200387906
1698638744468197280,0.5752985138942976,0.0,0.0,0.0,0.0,0.05277286875641688
1698638744478315951,0.5763706493304515,0.0,0.0,0.0,0.0,0.0549709711428931
1698638744488253318,0.5773160215070468,0.0,0.0,0.0,0.0,0.0552209487275709
1698638744498255219,0.5782073370395876,0.0,0.0,0.0,0.0,0.05573725279131616
1698638744508264394,0.578218703461148,0.0,0.0,0.0,0.0,0.05637620822550832
1698638744518217380,0.5799387660944004,0.0,0.0,0.0,0.0,0.056449085182537356
1698638744528215655,0.5814917332077143,0.0,0.0,0.0,0.0,0.05679049131197054
1698638744539041214,0.5832040537238686,0.0,0.0,0.0,0.0,0.057464181050161205
1698638744548316806,0.5855174424727024,0.0,0.0,0.0,0.0,0.058402393138618995
1698638744558223701,0.586078414009213,0.0,0.0,0.0,0.0,0.060040922404162006
1698638744568205566,0.5865256488847043,0.0,0.0,0.0,0.0,0.060082680948014146
1698638744578267078,0.5882248065317329,0.0,0.0,0.0,0.0,0.06115105684856695
1698638744588329062,0.5887535499536573,0.0,0.0,0.0,0.0,0.061965175426030555
1698638744598268370,0.5904555141026889,0.0,0.0,0.0,0.0,0.06262564235567168
1698638744608232990,0.5915218823603738,0.0,0.0,0.0,0.0,0.0637009644726374
1698638744618228822,0.593565797543819,0.0,0.0,0.0,0.0,0.06406043612219733
1698638744628319048,0.5935867203501991,0.0,0.0,0.0,0.0,0.0648504394818189
1698638744638335044,0.5939199430596458,0.0,0.0,0.0,0.0,0.06592384349549059
1698638744648251486,0.5961262760015904,0.0,0.0,0.0,0.0,0.06665138827193656
1698638744658242017,0.597196700096174,0.0,0.0,0.0,0.0,0.06786273823409134
1698638744668331541,0.5985195484289202,0.0,0.0,0.0,0.0,0.06983713002766215
1698638744678264944,0.6000015868704911,0.0,0.0,0.0,0.0,0.07073657394694267
1698638744688305442,0.6006576886479843,0.0,0.0,0.0,0.0,0.07126173710663469
1698638744698326230,0.6007330570167375,0.0,0.0,0.0,0.0,0.07286720567327325
1698638744708198808,0.6025937611090089,0.0,0.0,0.0,0.0,0.07350291926492653
1698638744718281714,0.6031402291841272,0.0,0.0,0.0,0.0,0.07419182306372368
1698638744728252949,0.604281626183641,0.0,0.0,0.0,0.0,0.0743317228365006
1698638744738360712,0.6044125416810402,0.0,0.0,0.0,0.0,0.0746853144568776
1698638744748293672,0.604661782916429,0.0,0.0,0.0,0.0,0.0751305788863013
1698638744758209877,0.6059056066066165,0.0,0.0,0.0,0.0,0.07678140472463771
1698638744768323518,0.606695006739229,0.0,0.0,0.0,0.0,0.07834298236413031
1698638744778426840,0.6066995388507241,0.0,0.0,0.0,0.0,0.07896624459337816
1698638744788222208,0.6079909959601081,0.0,0.0,0.0,0.0,0.08069832972923896
1698638744798318887,0.6092441860060569,0.0,0.0,0.0,0.0,0.0819358696197419
1698638744808238312,0.6112170556071347,0.0,0.0,0.0,0.0,0.08376526010965718
1698638744818244861,0.6130829061476673,0.0,0.0,0.0,0.0,0.08569828177459783
1698638744828205954,0.6148377906301794,0.0,0.0,0.0,0.0,0.08647186221451303
1698638744838231039,0.615740591881906,0.0,0.0,0.0,0.0,0.08686723303559073
1698638744848211354,0.6163019035583803,0.0,0.0,0.0,0.0,0.0882202271354956
1698638744858470381,0.6168285988774962,0.0,0.0,0.0,0.0,0.0890972605982463
1698638744868348228,0.618463475426988,0.0,0.0,0.0,0.0,0.08946219436266441
1698638744878205569,0.6186518214307549,0.0,0.0,0.0,0.0,0.09005930526560321
1698638744888380506,0.6187833211068606,0.0,0.0,0.0,0.0,0.09076943299311502
