x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0.826548,0.0954779,0.112564,405.441,0.403876,0.0543982,0.00482507,0.871334,0.0544419,0.1248,0.41853,0.0221531,405.451,0.834795,0.0964665,0.112934,405.461,0.418514,0.0445615,0.0515077,
0.834795,0.0964665,0.112934,405.461,0.418514,0.0445615,0.0515077,0.871334,0.0544419,0.1248,0.410688,0.0220361,405.468,0.843221,0.0973312,0.114227,405.479,0.426241,0.0453294,0.051991,
0.843221,0.0973312,0.114227,405.479,0.426241,0.0453294,0.051991,0.871334,0.0544419,0.1248,0.402679,0.021626,405.49,0.851841,0.0983293,0.114918,405.501,0.436665,0.0557052,0.0186499,
0.851841,0.0983293,0.114918,405.501,0.436665,0.0557052,0.0186499,0.871334,0.0544419,0.1248,0.394483,0.0214072,405.509,0.860529,0.0995819,0.114421,405.521,0.431831,0.0674145,-0.0425867,
0.860529,0.0995819,0.114421,405.521,0.431831,0.0674145,-0.0425867,0.871334,0.0544419,0.1248,0.386216,0.0215647,405.532,0.869155,0.100837,0.114303,405.543,0.433152,0.0567615,0.0292621,
0.869155,0.100837,0.114303,405.543,0.433152,0.0567615,0.0292621,0.871334,0.0544419,0.1248,0.378009,0.021602,405.551,0.877879,0.101773,0.115225,405.561,0.439504,0.0374101,0.0476187,
0.877879,0.101773,0.115225,405.561,0.439504,0.0374101,0.0476187,0.871334,0.0544419,0.1248,0.369716,0.02131,405.572,0.88669,0.102588,0.115794,405.582,0.440417,0.0481149,0.0130377,
0.88669,0.102588,0.115794,405.582,0.440417,0.0481149,0.0130377,0.871334,0.0544419,0.1248,0.361344,0.0211295,405.59,0.89542,0.103716,0.115923,405.6,0.432965,0.0605045,0.00275863,
0.89542,0.103716,0.115923,405.6,0.432965,0.0605045,0.00275863,0.871334,0.0544419,0.1248,0.35304,0.0210886,405.61,0.903991,0.104854,0.116099,405.62,0.42489,0.051389,0.0180299,
0.903991,0.104854,0.116099,405.62,0.42489,0.051389,0.0180299,0.871334,0.0544419,0.1248,0.344888,0.0210328,405.633,0.91224,0.10576,0.117086,405.643,0.404009,0.0425787,0.0555046,
0.91224,0.10576,0.117086,405.643,0.404009,0.0425787,0.0555046,0.871334,0.0544419,0.1248,0.337045,0.0207202,405.65,0.92022,0.106655,0.117658,405.66,0.396436,0.0483282,0.0122397,
0.92022,0.106655,0.117658,405.66,0.396436,0.0483282,0.0122397,0.979574,0.0688793,0.1404,0.420427,0.0249901,405.67,0.928098,0.107731,0.117662,405.681,0.383609,0.057328,-0.0439035,
0.928098,0.107731,0.117662,405.681,0.383609,0.057328,-0.0439035,0.979574,0.0688793,0.1404,0.412944,0.0249888,405.69,0.935734,0.108879,0.116768,405.7,0.385978,0.0543995,-0.0351162,
0.935734,0.108879,0.116768,405.7,0.385978,0.0543995,-0.0351162,0.979574,0.0688793,0.1404,0.405688,0.0252721,405.709,0.943654,0.109884,0.11675,405.72,0.405316,0.0462926,0.0295716,
0.943654,0.109884,0.11675,405.72,0.405316,0.0462926,0.0295716,0.979574,0.0688793,0.1404,0.398168,0.0252776,405.732,0.952067,0.110714,0.117552,405.742,0.435521,0.0410652,0.0346134,
0.952067,0.110714,0.117552,405.742,0.435521,0.0410652,0.0346134,0.979574,0.0688793,0.1404,0.390185,0.0250237,405.75,0.960966,0.111692,0.117944,405.76,0.450504,0.0553253,0.0151384,
0.960966,0.111692,0.117944,405.76,0.450504,0.0553253,0.0151384,0.979574,0.0688793,0.1404,0.381739,0.0248996,405.77,0.969977,0.112884,0.118204,405.78,0.449537,0.0604469,0.0109008,
0.969977,0.112884,0.118204,405.78,0.449537,0.0604469,0.0109008,0.979574,0.0688793,0.1404,0.373181,0.0248171,405.79,0.978896,0.114015,0.118641,405.8,0.436391,0.0513576,0.0537355,
